"","chicago-house","dancehall","detroit-techno","hip-hop","kids","latin","latino","minimal-techno","reggae","reggaeton","class.error"
"chicago-house",457,8,163,10,37,5,1,98,2,0,0.414852752880922
"dancehall",11,489,1,97,89,36,16,5,31,18,0.383354350567465
"detroit-techno",212,7,408,3,13,2,0,158,1,1,0.493167701863354
"hip-hop",12,163,4,342,91,67,61,7,42,24,0.579335793357934
"kids",27,109,9,89,462,38,11,7,20,12,0.410714285714286
"latin",10,37,5,59,36,221,242,3,132,76,0.730816077953715
"latino",3,37,3,49,36,241,62,2,193,179,0.922981366459627
"minimal-techno",96,3,165,2,7,1,0,519,0,0,0.345523329129886
"reggae",4,33,0,42,48,170,225,0,84,209,0.896932515337423
"reggaeton",2,22,0,21,14,162,275,0,271,23,0.970886075949367
